Title,Company,City,State,Description,Skills,Experience,Job URL,skill_count,job_level,desc_length,Experience_log
Assistant Project Manager,Nova Systems,Canberra,ACT,"Support lead Project / Engineering Managers with administrative tasks
Manage contract deliverables, stakeholder engagement, and calendar bookings
Defence systems experience, strong communication, security clearance required.",,5.0,https://au.jora.com/job/Assistant-Project-Manager-3873df4b183f0cf064c7aa9fada413d7,0,unknown,226,1.791759469228055
"Technical Account Manager, ES - ANZ",Amazon Web Services,Sydney,NSW,"Lead enterprise support customers in building applications on AWS platform
Provide expert advice, support strategy, and operational performance reviews
Advocate for customers, recommend service improvements at account level",AWS,5.0,https://au.jora.com/job/Technical-Account-Manager-429df496ea99d7f1d187677e0c8c0c4f,1,unknown,225,1.791759469228055
"Director, Sales",OpenText,Canberra,ACT,"Lead ANZ ITOM Sales team to exceed sales objectives
Develop regional sales strategies, C-Level relationships, and partnerships
Bachelor's degree, sales experience, leadership skills needed.",,5.0,https://au.jora.com/job/Director-Sales-377c778ace7738b79adaa38bb615bdc5,0,unknown,191,1.791759469228055
Senior Inside Sales Account Rep,Accenture,Melbourne,VIC,"Responsible for end-to-end sales process and account management
Interact with clients, suggest solutions, and maintain relationships
Bachelor's degree required, 3-5 years telco/tech sales experience",,5.0,https://au.jora.com/job/Senior-Inside-Sales-1ffbc32004247884257030e5380aa968,0,senior,200,1.791759469228055
Senior ServiceNow Specialist,Medibank,Melbourne,VIC,"Expert in designing, implementing, and governing ServiceNow platform
Monitor platform health, compliance, and align with business strategy
Skilled in ServiceNow System Administration and application development",Go,5.0,https://au.jora.com/job/ServiceNow-Specialist-473eb1fc68aa0db4f6ec3b4205af593d,1,senior,212,1.791759469228055
Talent Acquisition Partner - Volume Hiring (6 Month Fixed Term Contract),Civica,Melbourne,VIC,"Execute volume hiring campaigns for call center & admin roles
Plan & manage bulk hiring campaigns, ensuring seamless execution
Partner with stakeholders, demonstrate compliance, drive process improvement",,5.0,https://au.jora.com/job/Talent-Acquisition-Partner-744f444c4d013208fbdc485ad7cc8621,0,unknown,205,1.791759469228055
PowerCurve Collections,Infosys,Sydney,NSW,"8+ years experience in banking or financial services sector
Expertise in PowerCurve Collections software and processes
Skills in microservices architecture, PL/SQL, and communication","Microservices, SQL",8.0,https://au.jora.com/job/PowerCurve-Collections-e27489232efbf4f88092390e250e542b,2,unknown,184,2.1972245773362196
"Domain Architect, Customer & Field Services",Ausnet,Southbank,VIC,"Shape and maintain IT architecture for efficient electricity delivery
Collaborate with senior executives and drive innovation in alignment
Bachelor's degree, 5+ years IT architecture, customer systems",,5.0,https://au.jora.com/job/Domain-Architect-58e3f54be43165c93efa39f6ab3737b2,0,unknown,202,1.791759469228055
NetSuite Specialist,Aussie Broadband,Brisbane,QLD,"NetSuite expert with strong financial background
Subject matter expert for NetSuite, continuous training provided
Supporting NetSuite, conducting testing, training, and implementing solutions",,5.0,https://au.jora.com/job/Specialist-0ad4acac0c44a0e936f135b3511bf454,0,unknown,193,1.791759469228055
"Senior Customer Solutions Manager, Public Sector",Amazon Web Services,Canberra,ACT,"Lead cloud transformation journey for public sector customers
Collaborate with stakeholders to deliver technical solutions and track progress
Required to gain Solution Architect, Associate certification within 6 months",SSO,5.0,https://au.jora.com/job/Customer-Solutions-Manager-9915240d42a184ca79288ee9bf9b4435,1,senior,220,1.791759469228055
Field Service Engineer VIC,Becton Dickinson,Melbourne,VIC,"Provide software and hardware support for BD ROWA and Pyxis
Perform routine maintenance, repairs, and performance testing
Technical expertise, communication skills, flexibility essential",,5.0,https://au.jora.com/job/Field-Service-Engineer-393f44477f6dd50b9b606296d39b5e34,0,unknown,188,1.791759469228055
APP-CTB – Business BA,Kirra Services,New South,Wales,"Minimum 10+ years experience in IT consulting or technology
Proficient in SQL, data mapping, and big data application architecture
Strong communication, stakeholder management, and presentation skills required",SQL,10.0,https://au.jora.com/job/APP-CTB-Business-86a197e3e596126b12bbbdb93374a115,1,unknown,211,2.3978952727983707
Sr Pre-Sales Solution Partner,Orange,Sydney,NSW,"Understand customer's business and IT strategy, ICT environment needs
Promote innovations, develop trust, and credibility with customers
Minimum 10 years customer-facing roles in telecom/IT, BSc required",,10.0,https://au.jora.com/job/Solutions-Partner-9ea2ca47692457df057d6239c82b7a43,0,unknown,205,2.3978952727983707
"Solutions Engineer, Growth - APAC",Vanta,Sydney,NSW,"Lead technical discussions with key prospects and customers
Develop deep understanding of product capabilities and integrations
3+ years customer-facing technical experience, B2B SaaS experience required",,3.0,https://au.jora.com/job/Solutions-Engineer-c8e246266aa61f02a9585fbce710e1fe,0,unknown,205,1.3862943611198906
FTE_ Desktop support engineer_ Brisbane,EIL Global IT Solutions and Services Pvt Ltd,Brisbane,QLD,"Proficient in Windows OS troubleshooting and system issue handling
Skilled in active directory management and Microsoft Office 365 support
Experience in network connectivity, hardware diagnostics, and asset management",Active Directory,5.0,https://au.jora.com/job/Desktop-Support-Engineer-c6ec2d96926f611f1a2612cd356b5a9f,1,unknown,219,1.791759469228055
GTM Enablement Manager - APAC,Vanta,Sydney,NSW,"Lead and execute impactful programs for APAC GTM teams
Identify skill gaps, design training roadmaps, and provide coaching
Collaborate with cross-functional teams, evaluate program effectiveness",,5.0,https://au.jora.com/job/Manager-500a3acf45892f21b9bb726703b79b3b,0,unknown,196,1.791759469228055
"Manager, Business Applications",Civeo,Sydney,NSW,"Lead team of Business Analysts in developing efficient systems
Collaborate with stakeholders to identify best technology solutions
Minimum 5 years' experience in systems analysis, JD Edwards preferred",,5.0,https://au.jora.com/job/Manager-9d3c55b3ed91c1dd33f1fc6fa9b36201,0,unknown,202,1.791759469228055
Junior HR Generalist,Canonical,Sydney,NSW,"Provide HR support and maintain HRIS with accuracy
Process new hires, manage benefits, and conduct audits
Collaborate globally, handle confidential data, suggest improvements",,5.0,https://au.jora.com/job/Junior-HR-Generalist-338ff09eb47cdfadc9d5566abcfe8757,0,entry,176,1.791759469228055
Lead Operations Engineer,Appentency Recruitment Services,Melbourne,VIC,"Lead operations with ITIL framework experience
Manage service strategy, architecture design, and pre-sales consulting
Ownership of service catalog, service level management, and automation",ITIL,5.0,https://au.jora.com/job/Operations-Engineer-39170f180c3155dee64c7c50ac733843,1,senior,190,1.791759469228055
TS PV Change Officers,Vertical Scope Group,Heidelberg West,VIC,"Support change activities in complex IT environments
Develop and disseminate change-related communications for user awareness
Engage stakeholders, monitor feedback, and provide operational support",,5.0,https://au.jora.com/job/Change-Officer-306f7bc6337c13116c440f41c5509687,0,unknown,198,1.791759469228055
"Business Analyst - Azure, Cloud - Fed Govt!",Hitech Asia Pacific,New South,Wales,"Analyze business requirements and translate into technical specifications
Work closely with stakeholders in Cloud infrastructure projects
Facilitate workshops, perform business analysis, and process mapping",,5.0,https://au.jora.com/job/Business-Analyst-05661292360fa3828f0961107eadf73d,0,unknown,208,1.791759469228055
Director - ServiceNow - Technology Consulting - Financial Services,EY,Melbourne,VIC,"Lead large-scale ServiceNow implementations for Tier-1 financial clients
Guide C-level stakeholders, lead architecture practice
12+ years industry exp, ServiceNow certs, strong communication",,12.0,https://au.jora.com/job/Director-d34c004e29573a1ab5a7cc899f41b207,0,unknown,192,2.5649493574615367
Technology Delivery Manager,Clicks IT Recruitment,Sydney,NSW,"Lead complex projects, deliver high-quality outcomes across functions
Manage team workflow, prioritize backlog, and remove blockers
Coordinate delivery ceremonies, track progress, and address skills gaps",,5.0,https://au.jora.com/job/Delivery-Manager-df75698ff723308864a96c41fd3fbc74,0,unknown,205,1.791759469228055
Delivery Lead,Jenny Barbour IT And Project Recruitment,Melbourne,VIC,"Lead delivery teams in Agile methodologies for business value
Advanced stakeholder management & risk identification and management skills
Coach teams, foster high performance, and navigate enterprise environments",Agile,5.0,https://au.jora.com/job/Delivery-Lead-0a98b7cfcf7507f0c1f97c005226a48a,1,senior,214,1.791759469228055
What's Hot in Tech - Sponsorship 2IC - Volunteer,Women 4 STEM,Melbourne,VIC,"Assist in securing financial and in-kind sponsorships for tech events
Develop tailored sponsorship strategies and proposals with Sponsorship Lead
Utilize Teams, Monday CRM, Microsoft Office, and SharePoint for management",SSIS,5.0,https://au.jora.com/job/Volunteer-af71b948f196f4b30c1201edcb472f3a,1,unknown,222,1.791759469228055
Simple Tech Volunteer for Aged Care,Mecwacare,Bacchus Marsh,VIC,"Assist elderly residents with basic computer skills and email tasks
Requires patience, good communication, and a caring attitude
Volunteer commitment: 1-hour shifts on Mondays","Go, SSIS",5.0,https://au.jora.com/job/Volunteer-623b5ca6a8eb78558287a0e3dcca8042,2,unknown,177,1.791759469228055
Technical Writer,Roller Software,Melbourne,VIC,"Craft engaging learning experiences to inspire and inform learners
Identify learning needs and develop tailor-made training programs
Transform technical concepts into engaging content; analyze data effectiveness",,5.0,https://au.jora.com/job/Technical-Writer-22dd184ad2541b38520d78fc6ad0ed76,0,unknown,213,1.791759469228055
Head of Engineering,Eucalyptus,New South,Wales,"Lead engineering team to solve healthcare challenges, double team size
Develop and execute engineering strategy aligned with company goals
Lead teams, collaborate, solve technical issues",Go,5.0,https://au.jora.com/job/Head-of-Engineering-ac3500e8371d38d9f3f942340a6d0303,1,unknown,188,1.791759469228055
Senior Workday Integration Specialist,Seven West Media,Canberra,ACT,"Design, develop, and maintain integrations with Workday platform
Collaborate with stakeholders to ensure seamless data flow
Provide technical support, training, and document integration processes",,5.0,https://au.jora.com/job/Integration-Specialist-c6307b42928f69b2716ce7fb1cd44056,0,senior,197,1.791759469228055
Senior Solutions Consultant,Workato,Sydney,NSW,"Lead presales activities and provide automation best practices
Communicate value of products, focusing on SAP-related use cases
Collaborate with various teams to evangelize platform and architecture",SAP,5.0,https://au.jora.com/job/Solutions-Consultant-5afdc1a8a1bfbeb90552d125cd311f96,1,senior,200,1.791759469228055
Customer Success Consultant,Phocas,Melbourne,VIC,"Drive brand awareness, user adoption, and revenue growth activities
Provide exceptional service, coaching, and training to customers
Bachelor's degree, 3+ years Customer Success experience, financial knowledge",,3.0,https://au.jora.com/job/Customer-Success-Consultant-4ee50d745eecabea9ac7e40481861cdd,0,unknown,211,1.3862943611198906
Inside Sales,The MAS Agency Job Posting Only,Regents Park,NSW,"Prepare accurate quotes and contribute to sales growth
Interact with suppliers for special pricing and order items
Maintain relationships with customers, suppliers, and internal stakeholders",,5.0,https://au.jora.com/job/Inside-Sales-62a46d050de9c6213f3432e1e2ab122b,0,unknown,192,1.791759469228055
Enterprise Account Executive,Mimecast,New South,Wales,"Generate new business within 3,000+ employee businesses
Build strategic relationships with CIO/CISOs, achieve sales targets
Experience in IT or SaaS sales, value-based solution selling",,5.0,https://au.jora.com/job/Enterprise-Account-Executive-a2cfbda1189e0c975f1eacd3dd5a15e3,0,unknown,186,1.791759469228055
Senior Systems Engineer - ServiceNow,Coles Supermarkets,Hawthorn,VIC,"Oversee ServiceNow platform administration, design, and implementation
Lead governance processes and maintain technical documentation and policies
Skilled in ServiceNow admin and application development",Go,5.0,https://au.jora.com/job/Systems-Engineer-b713fe8598595d70b5f7aa03dba83fa1,1,senior,204,1.791759469228055
IT Technician – Level 2/3,Auxilium Resources,Perth,WA,"Experience in Windows OS, Server, Cisco routers, WAN/LAN
Knowledge of VPNs, Azure, Office365, Active Directory, troubleshooting skills
Desirable: Coding experience, CCNA/CCNP, MCSA, CompTIA Certifications","Active Directory, Azure, VPN",5.0,https://au.jora.com/job/IT-Technician-Level-bbec01e511123c1ba8af5b13260cdf5b,3,unknown,206,1.791759469228055
HRIS (Workday) Functional Lead,Crown Resorts,Southbank,VIC,"Lead in implementing and improving Workday HRIS systems
Manage data integrity and conduct audits for HR modules
Mentor analysts, provide system support, and ensure data confidentiality",,5.0,https://au.jora.com/job/Functional-Lead-c746558e78bffb5f85d82739aa4960ac,0,senior,186,1.791759469228055
"Sales Engineering Manager (Remote, AUS)",CrowdStrike,Melbourne,VIC,"Manage ANZ-South Sales Engineering team and technical sales operations
Lead pre-sales technical support, training, and customer engagement
Oversee team performance, training, and achieve revenue targets",,5.0,https://au.jora.com/job/Sales-Engineering-Manager-b0e0b71b63babaf5eb421c3896856c71,0,unknown,204,1.791759469228055
It's in the Bag (IITB) Campaign - Volunteers,Share the Dignity,Geraldton,WA,"Volunteer to collect, sort, log, and deliver donations
Engage in ad-hoc volunteer opportunities in local Workplace Groups
Access to mobile device or computer, follow Share the Dignity policies",,5.0,https://au.jora.com/job/Volunteer-42a1ad86c759367dab653ca548db148f,0,unknown,194,1.791759469228055
Senior Back End Developer,West Recruitment,Parramatta,NSW,"Lead development of large-scale applications for cashless gaming systems
Experience in legacy architecture and multiple coding languages
Experience with CI/CD, containerization, database management, and API testing",CI/CD,5.0,https://au.jora.com/job/Senior-Back-End-8d5f0504eb9dc745d8dba9bc09789e62,1,senior,216,1.791759469228055
Back End Developer (.Net),Programmed Maintenance Services,Macquarie Park,NSW,"Contribute to developing innovative products with quality and performance
Engage in Agile Development Process for timely delivery and improvement
Experience in web service development, Agile, and automated testing",Agile,5.0,https://au.jora.com/job/Back-End-Developer-08cdf18375049d54204a734d89257879,1,unknown,215,1.791759469228055
Mid Software Developer - Back End,Ocean Software,Melbourne,VIC,"3-5 years experience in developer/analyst programmer role
Bachelor's in IT or Computer Science required
Strong skills in .NET, C#, SQL, Azure DevOps, communication","Azure, C#, DevOps, SQL",5.0,https://au.jora.com/job/Software-Developer-4009a85fe693eb8842bd7d4ec0b52aec,4,mid,165,1.791759469228055
Back-End Software Engineer (mid-level),Corto Pty Ltd,Sydney CBD,NSW,"Develop and maintain backend applications using C# and .NET
Collaborate with cross-functional teams to deliver efficient solutions
Minimum 2 years' experience with ASP.NET Web API required","ASP.NET, C#",2.0,https://au.jora.com/job/Back-End-Software-63769103dead81c87e4f0b9d1eaf3784,2,mid,190,1.0986122886681098
Backend Software Engineer (Mid-Level),Art Processors,Australia,,"Maintain & develop backend web systems using Python frameworks
Collaborate with cross-functional teams on new product development initiatives
Experience with Python, SQL databases, CI/CD tooling, AWS","AWS, CI/CD, Python, SQL",5.0,https://au.jora.com/job/Backend-Software-Engineer-714d44251b7b36a45e5fe5646efbb3dd,4,mid,201,1.791759469228055
Staff Backend Engineer,SafetyCulture,Sydney,NSW,"Manage complex architectural decisions and drive change
Own delivery of practical solutions for real-world problems
Empower engineers to learn new skills and solve customer problems",,5.0,https://au.jora.com/job/Backend-Engineer-cbd44cdb79b38cb4e75fd106b4af3c11,0,unknown,183,1.791759469228055
Senior Back End Software Development Engineer,Flip,Melbourne,VIC,"Collaborate with customers and product team for well-engineered solutions
Work with Senior Engineers on complex software architecture
Utilize Golang for back end development in a flexible environment",Go,5.0,https://au.jora.com/job/Software-Development-Engineer-23b0e0120e0e08ed15c8a605ffc9c076,1,senior,201,1.791759469228055
Backend Developer,MSA National,Macquarie Park,NSW,"Contribute to design, development, and maintenance of backend systems
Develop backend services using C#, .NET, and SQL Server
Minimum 5-6 years experience, Bachelor's degree in related field","C#, SQL, SQL Server",6.0,https://au.jora.com/job/Backend-Developer-855d419070bed6a859eeb9d94ae610e8,3,unknown,192,1.9459101490553132
Backend Engineer,Propeller,Surry Hills,NSW,"Develop and enhance API for better product integration
Collaborate with teams to build scalable and efficient solutions
Strong backend skills in Node or Python ecosystems required","Python, Scala",5.0,https://au.jora.com/job/Backend-Engineer-fe445cb11069f3fd9cabea0e3f33c5eb,2,unknown,181,1.791759469228055
Senior Fullstack Developer,Talenza,Melbourne,VIC,"Design and maintain software applications with React and C#/.Net
Collaborate with team, mentor junior developers, and optimize workflows
6+ years experience in React, C#/.Net, SQL, HTML5, CSS3","C#, CSS, HTML, React, SQL",6.0,https://au.jora.com/job/Senior-Fullstack-Developer-df3d868f7e1460489b1ac325a2eeca59,5,senior,194,1.9459101490553132
Mid level Golang Backend Developer,Emanate Technology,Brisbane,QLD,"Develop scalable solutions in Go for niche industry sector
Utilize SQL skills for effective data queries and integration
Mentor junior team members; 3-4 years software engineering experience","Go, SQL, Scala",4.0,https://au.jora.com/job/Backend-Developer-71e21f7258a96abb6f92ca8f55986426,3,mid,192,1.6094379124341003
Python Back End Developer,Cleared Recruitment,Canberra,ACT,"Develop and enhance cyber incident reporting platform with Python
Contribute to API development, deployment in Linux/Unix environment
Experience with AWS, CI/CD, and Agile delivery team","AWS, Agile, CI/CD, Linux, Python",5.0,https://au.jora.com/job/Python-Back-End-085009daeaf9e9fba3a6fb434237ba71,5,unknown,187,1.791759469228055
Backend Engineer,Spaceship,Sydney,NSW,"Develop backend platform for innovative investment products
Solve complex business problems related to finance and investments
Prefer 5+ years experience in backend engineering with relevant technologies",,5.0,https://au.jora.com/job/Backend-Engineer-02f7562bcd2871e7a380c851f9c77740,0,unknown,205,1.791759469228055
Senior Backend Engineer,Coinjar,Melbourne,VIC,"Design, build, and maintain high-performance backend systems
5+ years software engineering experience with cloud-based platforms
Experience with Docker, Kubernetes, APIs, CI/CD, and databases",CI/CD,5.0,https://au.jora.com/job/Backend-Engineer-a087820ecb3acc38d83cc17b9a3f419c,1,senior,193,1.791759469228055
Full Stack Developer,Hydrogen Group,Sydney CBD,NSW,"Develop core web technologies like JavaScript, React, HTML, CSS
Collaborate with cross-functional team for frontend app features
3-5 years Back End Development experience with Nodejs, AWS","AWS, CSS, HTML, Java, JavaScript, React",5.0,https://au.jora.com/job/Full-Stack-Developer-b4f41d592328cac3b118a58f21056812,6,unknown,189,1.791759469228055
Senior Software Engineer - Backend,Deputy,Sydney,NSW,"Lead technical solutions for product features with high performance
Mentor junior engineers, drive squads to successful outcomes
5+ years experience in API design, microservices, and modern tools",Microservices,5.0,https://au.jora.com/job/Senior-Software-Engineer-23ad41ce84ccbda6ca31c695375eae9b,1,senior,197,1.791759469228055
Binance Accelerator Program - Backend Development (Big Data Platform),Binance,Sydney,NSW,"Develop data security platforms and solutions in Big Data field
Engage in full software development lifecycle and collaborate with team
Required: Computer Science degree, Java, SQL, Spring framework knowledge","Java, SQL, Spring",5.0,https://au.jora.com/job/Binance-Accelerator-Program-4e35b2e4a521ddb6bdb089b888a4512e,3,unknown,210,1.791759469228055
Senior Backend Developer,WiseTech Global,Sydney,NSW,"Design, build, and maintain infrastructure for global logistics
Over 5 years experience in large-scale services and enterprise software
Proficiency in C#, Java, C++, RDBMS, OOP principles","C#, C++, Java",5.0,https://au.jora.com/job/Backend-Developer-ef2c6d7321017277d6d33271d97f5b38,3,senior,189,1.791759469228055
"Backend Software Engineer, TikTok Live Foundation",TikTok,Sydney,NSW,"Develop large-scale software systems for TikTok app
Collaborate with cross-functional teams in fast-paced environment
Final year or recent graduate in Software Development or related field",,5.0,https://au.jora.com/job/Backend-Software-Engineer-fee0be49643011dcca7d83f6b386fbf6,0,unknown,190,1.791759469228055
Binance Accelerator Program - Backend Development (Big Data Platform),Binance,Melbourne,VIC,"Develop data security platforms and solutions in Java
Engage in full software development lifecycle and collaborate with team
Required: Computer Science degree, Java skills, SQL/NoSQL databases knowledge","Java, SQL",5.0,https://au.jora.com/job/Binance-Accelerator-Program-43683be79aff0db7fe05a8d0a8eb0672,2,unknown,205,1.791759469228055
Full-Stack Developers *Multiple Contracts Available*,FinXL IT Professional Services,Sydney,NSW,"Strong background in financial services industry required
Expertise in Java, React, TypeScript, Angular, Node.JS, AWS
Experience in CI/CD, troubleshooting, and collaboration skills needed","AWS, Angular, CI/CD, Java, Node.js, React, TypeScript",5.0,https://au.jora.com/job/Full-Stack-Developer-b26e5ade0f05b7db8026e9b9679bc96d,7,unknown,189,1.791759469228055
Software Engineer Back-End,CorePlan,Perth,WA,"Develop scalable backend services and RESTful APIs for mining data
4+ years experience in Node.js, TypeScript, SQL, AWS services
Lead architectural decisions, mentor juniors, optimize PostgreSQL","AWS, Node.js, PostgreSQL, SQL, Scala, TypeScript",4.0,https://au.jora.com/job/Software-Engineer-Back-a3a2688bd55a0a91159ee587327d7fe9,6,unknown,196,1.6094379124341003
Senior Backend Engineer (Adelaide),WiseTech Global,Adelaide,SA,"Maintain backend infrastructure for platform stability and performance
Utilize C#, SQL, GoLang, PowerShell Script for backend enhancements
Lead architecture and implementation of new features and services","C#, Go, PowerShell, SQL, Shell",5.0,https://au.jora.com/job/Backend-Engineer-24116cc3d6cd71d4ef373f8390c8ad1d,5,senior,206,1.791759469228055
Front-End Software Engineer - Angular,Roller Software,Melbourne,VIC,"4+ years experience in Front-End Software Engineering
Proficiency in Angular/AngularJS and modern HTML/CSS
Experience with design systems, Git, and CI/CD preferred","Angular, CI/CD, CSS, Git, HTML",4.0,https://au.jora.com/job/Software-Engineer-eb6cc5b211aee17861ba0671c509f629,5,unknown,165,1.6094379124341003
Backend Engineer,Employment Hero,Sydney,NSW,"Design, develop, and maintain backend infrastructure of software applications
Bachelor's in Computer Science, 3+ years backend development experience
Strong knowledge of Java, Python, Ruby; experience with Spring, Django","Django, Go, Java, Python, Ruby, Spring",3.0,https://au.jora.com/job/Backend-Engineer-fda071d31b39930f2cec7c646269d201,6,unknown,222,1.3862943611198906
Frontend Engineer – Export Team,Canva,Sydney,NSW,"Craft intuitive UI interfaces for effortless design exporting
Optimize performance for high-speed, high-reliability exports at scale
Collaborate with cross-functional teams to enhance user experience",,5.0,https://au.jora.com/job/Frontend-Engineer-Export-07f5f62b61546df53ac6feadbfc34a62,0,unknown,201,1.791759469228055
Full stack/Backend Developer,Cover-More Travel Insurance,North Sydney,NSW,"Develop scalable backend services and APIs with Node.js/TypeScript/Python
Work on serverless applications using AWS services like Lambda, DynamoDB
5+ years backend dev experience, AWS services knowledge, CI/CD expertise","AWS, CI/CD, DynamoDB, Node.js, Python, Scala, TypeScript",5.0,https://au.jora.com/job/Backend-Developer-9a32d2c3d6726586750fe3e19ffa8c1a,7,unknown,221,1.791759469228055
Java Backend Developer,XPT Software,Sydney,NSW,"Work with top clients in various domains like Banking, Insurance
Engage in IT services, R&D, staff augmentation, and permanent hiring
Experience required: 4-8 years in Java backend development",Java,8.0,https://au.jora.com/job/Java-Backend-Developer-1ff05d7e57235c27235891c9f02ca93b,1,unknown,194,2.1972245773362196
Software Engineer - Backend,Tyro Payments,Sydney,NSW,"Develop high performance features and services in Java/Kotlin/Nodejs
Collaborate with cross-functional teams to optimize Tyro terminals
Bachelor's degree in Computer Science and 4-8 years experience",Java,8.0,https://au.jora.com/job/Software-Engineer-Backend-be514b42c60719c963977585150a1942,1,unknown,200,2.1972245773362196
.NET Backend Developer,Hays Recruitment,Sydney,NSW,"Develop, maintain scalable backend systems with C# and .NET
Experience in Web API, SQL Server, and cloud platforms
Collaborate with cross-functional teams in agile development environment","Agile, C#, SQL, SQL Server, Scala",5.0,https://au.jora.com/job/Backend-Developer-f803023d90a48e0ada0e5754b3803479,5,unknown,189,1.791759469228055
Senior Backend Engineer,The Onset,Sydney,NSW,"Lead development of cutting-edge insurance platform with modern technologies
Collaborate with cross-functional teams to deliver end-to-end solutions
Support junior engineers, ensure system robustness, and mentor team",,5.0,https://au.jora.com/job/Backend-Engineer-a7479aa6e3dfb9894eafed2162239f29,0,senior,218,1.791759469228055
Front End Developer,Harvey Robinson,Melbourne,VIC,"Expertise in Javascript, CSS, HTML with React or Vue
Experience in front-end architecture, accessibility, and responsive design
Leadership role mentoring juniors, advocating best practices","CSS, HTML, Java, JavaScript, React",5.0,https://au.jora.com/job/Front-End-Developer-867f8472f4caf50d291ec79143263285,5,unknown,190,1.791759469228055
"Graduate Backend Software Engineer, Live Streaming Backend",TikTok,Sydney,NSW,"Design, develop, and maintain global-scale live streaming platform
Architect and operate critical scalable services for video delivery
Bachelor's in Computer Science, experience in C/C++/Java/Python/Go.","C++, Go, Java, Python, Scala",5.0,https://au.jora.com/job/Graduate-Backend-Software-3439e597ae520bc7ea4f1798dfaca0f2,5,entry,204,1.791759469228055
Frontend Developer (Azure Web Apps - React / Flask) - JavaScript / TypeScript,Infinity Pro,Sydney CBD,NSW,"Develop dynamic web apps with React and Flask integration
Deploy and manage applications on Azure Web Apps platform
Collaborate with backend devs, data scientists, and product teams","Azure, Flask, React",5.0,https://au.jora.com/job/Frontend-Developer-Azure-f7051ac6cd3e46d465b880359a055cf0,3,unknown,183,1.791759469228055
"Backend Engineer, Java - Web 3 Wallet",Binance,Sydney,NSW,"Develop high-performance systems using blockchain technology
5+ years Java development experience, proficiency in multi-threaded programming
Strong logical thinking, enthusiasm for technology, and blockchain understanding",Java,5.0,https://au.jora.com/job/Backend-Engineer-Java-4657ac133435676213c2c6994f192d28,1,unknown,223,1.791759469228055
Software Engineer (Backend),Zip Co,Sydney,NSW,"Develop backend systems using .netCore, microservices & event architecture
Maintain and support Zip's Decisioning Engine critical to operations
Work on cloud-based microservices, automated testing, and infrastructure",Microservices,5.0,https://au.jora.com/job/Software-Engineer-Backend-1679d694618af1c16441ff0df32f9e5e,1,unknown,218,1.791759469228055
Senior Software Engineer – Back End,Agoda,Melbourne,VIC,"Develop performance-critical applications using modern programming languages
Design and implement scalable architectures, engage in cross-team collaborations
Implement CI/CD pipelines, maintain high-quality software solutions daily","CI/CD, Scala",5.0,https://au.jora.com/job/Senior-Software-Engineer-694777ae98488ed5a0219f57a920cf76,2,senior,233,1.791759469228055
Application Support Engineer - UX,Salt,Sydney,NSW,"Resolve complex technical issues for ServiceNow platform partners/customers
Minimum 3 years experience in troubleshooting technical issues
Bachelor's in Computer Information Systems or related field required",,3.0,https://au.jora.com/job/Application-Support-Engineer-2976e0c33af65e2b7c6fb701655ad791,0,unknown,209,1.3862943611198906
"Staff Backend Engineer, Procurement Suite",Airwallex,Melbourne,VIC,"Lead procurement product suite design, architecture, and delivery.
6+ years experience in modern engineering practices & staff mentoring
Bachelor degree in computer science, RESTful APIs, cloud experience",,6.0,https://au.jora.com/job/Backend-Engineer-0969aa0ed6aa24aa4ecffa7dc2a09015,0,unknown,206,1.9459101490553132
Java Backend Developer,XPT Software,Sydney,NSW,"Proficient in Java, API, Spring Boot, and Microservices
Strong communication skills are essential for the role
Requires 4-8 years of relevant work experience","Java, Microservices, Spring",8.0,https://au.jora.com/job/Java-Backend-Developer-d5872797a592376f51c0711b5f2ebeb3,3,unknown,159,2.1972245773362196
Pioneer Talent Program - Backend Engineer (Java) - Web 3 Wallet,Binance,Melbourne,VIC,"Design, develop, and maintain high-performance blockchain systems
2-5 years Java development experience, proficiency in multi-threaded programming
Tech enthusiast with strong logic, understanding blockchain",Java,5.0,https://au.jora.com/job/Pioneer-Talent-Program-dd210131e1fb30f5a0d2cc34c819bcb5,1,unknown,208,1.791759469228055
Senior Software Engineer - Backend,Lendi Group,Sydney,NSW,"5+ years backend development experience with Node.js (TypeScript)
Proficient in microservices architecture, RESTful services, and AWS cloud
Experience with Kafka, Docker, Kubernetes, and DevOps practices","AWS, DevOps, Kafka, Microservices, Node.js, RESTful Services, TypeScript",5.0,https://au.jora.com/job/Senior-Software-Engineer-153bb8d6cba71842458ed6fef7ff4a11,7,senior,205,1.791759469228055
Quality Engineer,Change Recruitment,Sydney CBD,NSW,"Implement best practices in agile squads for quality assurance
Hands-on experience with Java, JavaScript, Kotlin, and Git
5-10 years testing web, mobile, and backend systems required","Agile, Git, Java, JavaScript",10.0,https://au.jora.com/job/Quality-Engineer-b907b95e33c0a9da6d416212514a5ebf,4,unknown,184,2.3978952727983707
Frontend Developer,Akkodis,Canberra,ACT,"Minimum 4 years frontend experience with Java, Angular, React
Design and implement user-facing features in web applications
Collaborate with back-end teams to develop scalable APIs","Angular, Java, React, Scala",4.0,https://au.jora.com/job/Frontend-Developer-ed6cb587e09e8cc38611225315b2d721,4,unknown,182,1.6094379124341003
