Title,Company,City,State,Description,Skills,Experience,Job URL
IT System Administrator,West Recruitment,Norwest Business Park,NSW,"Contribute to network design and capacity planning
Manage network hardware, data centers, and servers
IT qualification, experience with Microsoft, Citrix, and VMware products",VMware,0,https://au.jora.com/job/IT-System-Administrator-6688fc0471480a19240dc5f7cd2cad0d
Service Desk,Talent International,Adelaide,SA,"Deliver effective incident and service request management
Provide excellent customer service in ICT service desk environment
Document procedures, manage calls/emails, escalate incidents effectively","Excel, Scala, Service Desk",0,https://au.jora.com/job/Service-Desk-5b9902754e38c019ae4f7ddcaff23b11
Junior ICT Architect,EY,Canberra,ACT,"Passionate about technology and problem-solving in diverse environments
Collaborate with experts to design and deliver bespoke technology solutions
Opportunity to grow into proficient solution architect with EY",,0,https://au.jora.com/job/Junior-ICT-Architect-8aafc3dfcce8351db9788fa29f70f045
IT Systems Engineer,Public Transport Authority of Western Australia,East Perth,WA,"Ensure reliable installation, operation, and maintenance of servers
Analyze system performance, identify issues, and implement solutions
Strong knowledge of server, network, security, storage technologies required",,0,https://au.jora.com/job/IT-Systems-Engineer-e980c47bb779c136ad8a18af02f08b45
Service Desk Agent,Datacom,Canberra,ACT,"First point of contact for clients, providing technical support
Respond to phone calls, emails, troubleshoot, and escalate issues
Customer-centric, team player, problem-solver, fast-paced work environment",Scala,0,https://au.jora.com/job/Service-Desk-Agent-f5d1644d323dc7d10dc579c457b01583
ICT Engineer,Michael Page,Sydney,NSW,"Lead complex ICT projects with multidisciplinary teams
Expertise in IT networks, security systems, and IoT infrastructure
Mentor junior staff, manage budgets, and drive project success",,0,https://au.jora.com/job/ICT-Engineer-1386fba05fcde1f9da76e619a036fbd0
Senior IT Officer,Corporate Travel Management,Brisbane,QLD,"Manage customer service lifecycle for IT services
Provide coaching, mentoring, and support to IT colleagues
Bachelor’s degree in IT or related field required",,0,https://au.jora.com/job/Senior-IT-Officer-a10b8e20bb60705b58a981d73837161a
ICT Service Delivery Manager,Swan Christian Education Association,Midland,WA,"Lead ICT support team and daily service operations
Enhance digital literacy, drive innovation, and engage stakeholders
Bachelor's degree, 5+ years ICT team management, technical certifications",Git,5,https://au.jora.com/job/ICT-Service-Delivery-9fd2c2177f79907ed5b730aa601899b2
IT Technician Level 1/2,Evolution IT,Townsville,QLD,"Provide IT support, troubleshoot client issues, and maintain systems
Experience with Microsoft 365, networking, and technical documentation required
Collaborate with team, handle projects, and ensure timely resolutions","IT Support, Networking",0,https://au.jora.com/job/IT-Technician-Level-05be4b06cdfd39994c73dd1c2b603f7e
"Bank Officer, Information Technology",OCBC Bank,Sydney CBD,NSW,"Provide technical support for hardware, software, and network issues
Oversee IT infrastructure, security, software, and network performance
Bachelor’s degree in IT, experience in IT support, programming knowledge",IT Support,0,https://au.jora.com/job/Bank-Officer-4516b112b82af08764659cf44f907d2c
It specialist,Elite Smart Energy Solutions,Australia,,"Manage HubSpot integrations, troubleshoot issues, optimize workflows
Extensive HubSpot CRM experience and certification required
Remote work with reliable internet, laptop, headset, and microphone",HubSpot,0,https://au.jora.com/job/It-specialist-c87a28208d8341216c1ca1b3d78e9a8d
ICT Service Manager,Department of Defence,Canberra,ACT,"Manage mobile ICT capability sustainment and governance with SLAs
Investigate incidents, analyze performance metrics, and recommend improvements
Manage stakeholder relationships, report generation, security clearance required",Go,0,https://au.jora.com/job/ICT-Service-Manager-9478874dada29dbb8eae6ad633292553
ICT Business Analyst,ONE NINETY SIX PTY LTD,Maidstone,VIC,"Analyze business processes, identify inefficiencies, and develop solutions
Collaborate with stakeholders to optimize processes and ensure consistency
Bachelor's degree in ICT or related field, 2+ years experience required",,2,https://au.jora.com/job/ICT-Business-Analyst-b7cbb56ab0b74c525a0c8e23b88e2a0c
IT Cyber Security Internship Program 2025,Readygrad,Adelaide,SA,"Receive and respond to cyber security alerts and incidents
Work with Azure Sentinel, incident handling, and vulnerability management
Bachelor's degree in computer science or related field required",Azure,0,https://au.jora.com/job/IT-Cyber-Security-341d9a6bf49cef98e482ecb9ae7958e7
Internship - Infrastructure & Networks,Azit Labour Solution,Sydney,NSW,"Flexible part-time hours available in Sydney, NSW
No experience needed for Accounting, HR, or Commerce Interns
Paid internship with opportunities for practical training and mentorship",,0,https://au.jora.com/job/Internship-Infrastructure-Networks-57fff003d971bb459727501b27904ee5
DHL Supply Chain 2025 IT Internship Program,DHL Supply Chain,Sydney CBD,NSW,"12-week program with potential for post-program Graduate role
Involvement in operational and strategic projects with customer impact
STEM student with strong communication skills and work ethic",,0,https://au.jora.com/job/DHL-Supply-Chain-7af6bb723262ddacc7f3ada6d0c88264
IT Cybersecurity Internship,Study and Work,Sydney,NSW,"Assist in monitoring security incidents and analyzing alerts
Contribute to developing security awareness training materials and guides
Engage in research on emerging cybersecurity threats and best practices",SSIS,0,https://au.jora.com/job/IT-Cybersecurity-Internship-f31c2b660acc60e81cbae8be5a022bd6
Information Technology Internship Program,Bank of America,Sydney,NSW,"Gain practical IT experience in Australian workplace environment
Develop technical and soft skills through live projects and tasks
Internship placement matching university students' study requirements.",,0,https://au.jora.com/job/Information-Technology-Internship-6da8d69ec2525bff555b18df74c1ecfd
IT Project Management Intern,Study and Work,Sydney,NSW,"Support IT projects from planning to reporting stages
Ideal for IT, Computer Science, or Business Information Systems students
Gain experience in Agile, Scrum, or Waterfall methodologies","Agile, Scrum",0,https://au.jora.com/job/Project-Management-Intern-a4cc28ea54231ea323ac0f00796d14fb
Expression of Interest - Suncorp 2025/2026 Internship Program,Readygrad,Sydney,NSW,"Internship program for penultimate year students in various areas
Summer program from November to February with two-week break
Opportunities in Cyber Security, Data Analytics, Software Engineering, etc.",,0,https://au.jora.com/job/Expression-of-Interest-ae9fa2d06fff9b489f0a4ce06612960c
2025 Software Dev Engineer Intern - Stores,Amazon,Brisbane,QLD,"Develop software solutions in a team environment
Contribute to architecture and design of new systems
Agile environment, high-quality software delivery, problem-solving skills",Agile,0,https://au.jora.com/job/Engineer-7e139f3a1125e040677b4332a3c5d53c
Zoho One Implementation Intern,Powerdata Group Consulting,Melbourne,VIC,"Implement and customize Zoho One applications for real-world projects
Translate business needs into technical solutions with teams.
Interns needed with IT/Business Info Systems degree, Microsoft certification",Zoho,0,https://au.jora.com/job/Zoho-One-Implementation-4181718258ec1992b8fb6d720486dbd8
2025-2026 International Student Opportunities - Software Engineering Internship,Citadel Securities,Sydney,NSW,"Develop technological tools for trading strategies
Create high-performance data research platforms in small team setting
Opportunity for interns to collaborate with senior team members",,0,https://au.jora.com/job/2025-2026-International-014aae262d4059988809a496d1aed321
IT - Other,Studyandwork,Melbourne,VIC,"Relevant degree or recent graduate with strong communication skills
Work at least 3 days per week in web development
Gain experience in coding, website creation, and software maintenance",,0,https://au.jora.com/job/IT-Other-8765bf89812c9c403ff980a673d5e727
Notify Me - Westpac Group Internships,Westpac Group,Adelaide,SA,"Contribute from day one and have an impact on business
Build networks with business leaders, project leads, program sponsors
Engage in volunteering, sustainability initiatives for holistic work experience",,0,https://au.jora.com/job/Notify-Me-Westpac-b57bbe0029aa6a8456e20fa7212874d1
Software Engineering Internship (Summer 2025/2026) Expression of Interest,SafetyCulture,Sydney,NSW,"Hands-on experience in software development on real-world projects
Collaborate with engineers and other departments for impactful solutions
10-week summer internship focusing on tech impact for customers",,0,https://au.jora.com/job/Software-Engineering-Internship-13fd3333a5c2c9c3aac6ce0e2e73cdbf
2025-2026 Software Engineering Internship - Software Engineering,EY,Sydney,NSW,"Develop technological tools for trading strategies
Collaborate in small teams to build finance platforms
Opportunity for interns to network with senior team members",,0,https://au.jora.com/job/2025-2026-Software-adfc6f21505b728ad320c950f923c51f
"Workplace Technology (Information Technology) Summer Internship 2025/2026, Australia and New Zealand",Atlassian,Adelaide,SA,"Implement and support workplace technology solutions for Atlassian
Collaborate with various Atlassian teams and executives for challenges
Open to penultimate year students with Australian or New Zealand Citizenship",,0,https://au.jora.com/job/Workplace-Technology-Information-6da5f6e023056d8d0bb7b51f70549e69
"Software Engineering (Business Information Systems) Summer Internship 2025/2026, Australia and New Zealand",Susquehanna International Group,Sydney,NSW,"Internship for Software Engineering students in Australia or New Zealand
Develop software solutions using JavaScript, Python, C, C++
Collaborate with team on cloud migration and core product suite","C++, Java, JavaScript, Python",0,https://au.jora.com/job/Software-Engineering-Business-9afe2b659c4e31632e86179e84c4a0d1
Notify Me - Cisco Internships,Cisco Systems,Melbourne,VIC,"Receive notifications for Cisco's Internships applications opening
Join No.1 Best Workplace in Australia, ranked by Great Place to Work
Opportunity to work in a diverse, innovative, and inclusive environment",,0,https://au.jora.com/job/Notify-Me-Cisco-1f592005327f1c477620ebef6857d899
"Workplace Technology (Information Systems) Summer Internship 2025/2026, Australia and New Zealand",Atlassian,Adelaide,SA,"Implement, advocate, and support workplace technology solutions
Collaborate with various Atlassian teams for new challenges
Penultimate year university students with Australian/NZ Citizenship/PR",,0,https://au.jora.com/job/Workplace-Technology-Information-b4a22df8e804fb845a0d68452ebcc079
"Software Engineering (Information Technology) Summer Internship 2025/2026, Australia and New Zealand",Atlassian,Adelaide,SA,"Internship program for Software Engineering or Computer Science students
Work on software development projects with a focus on quality
12-week full-time internship for Australian or New Zealand citizens/residents",,0,https://au.jora.com/job/Software-Engineering-Information-9bcd12729cfd501a42dec239b2f26485
2026 KPMG Vacationer/Intern Program (Rolling Intake) – Technology and Digital,Atlassian,Sydney,NSW,"Engage in real-world problem-solving with experienced professionals
Join a structured vacationer program for second last year students
Opportunities for direct entry into the graduate program post-graduation",,0,https://au.jora.com/job/2026-KPMG-Vacationer-6bd2a0dd1f08e0e10716cb18f69428d8
"2025 Software Development Engineer Intern, AWS",Amazon Support Services Pty Ltd - D05,Sydney,NSW,"Design and code solutions for real customer problems
Collaborate with diverse team in agile environment for software delivery
Internship period: December 2025 to February 2026",Agile,0,https://au.jora.com/job/2025-Software-Development-77a7d98d5c491d2a56e061095b837597
Backend Engineer Intern - 2025 Start,TikTok,Sydney,NSW,"Collaborate with cross-functional teams on delivering key results
Design and implement technical solutions to support business requirements
Minimum qualifications: pursuing degree in Software Development or related field",,0,https://au.jora.com/job/Backend-Engineer-fedb653e647ffa91b80762588fa17fce
"Security/Intelligence Engineer (Software Engineering) Summer Internship 2025/2026, Australia and New Zealand",Citadel Securities,Sydney,NSW,"Intern in Security team ensuring Atlassian product security
Penultimate year university students with Australian/NZ Citizenship/PR
Bachelors/Masters in Computer Science/Software Engineering by Jan 2027",,0,https://au.jora.com/job/Security-Intelligence-Engineer-7d60bc4d8cd3e53a5d566bbe7801328a
"Software Engineering (Computer Engineering) Summer Internship 2025/2026, Australia and New Zealand",Citadel Securities,Sydney,NSW,"Internship for penultimate year university students in Software Engineering
Experience with JavaScript, Python, C, C++, and object-oriented programming
12-week full-time program for Australian or New Zealand citizens/residents","C++, Java, JavaScript, Python",0,https://au.jora.com/job/Software-Engineering-Computer-c23bf5af568bfe6caf61f754ff10d776
Research Intern,Cisco ThousandEyes,Sydney,NSW,"PhD or strong master's student in Computer Science
Experience in networking protocols, Python, SQL, and NoSQL
Contribute to internet measurement project, develop research paper","Networking, Python, SQL",0,https://au.jora.com/job/Research-Intern-683d57470cd5c95049dc0667421a6155
"Site Reliability Engineering (Software Engineering) Summer Internship 2025/2026, Australia and New Zealand",Susquehanna International Group,Sydney,NSW,"Internship for penultimate year university students in Australia/NZ
Work on production systems, investigate failures, and gain technical knowledge
Programming experience in Python, Java, Linux, AWS preferred","AWS, Java, Linux, Python",0,https://au.jora.com/job/Site-Reliability-Engineering-7eb1816ea64c045c51aafde246d8d5d8
Notify Me - Capgemini Internships,Capgemini,Adelaide,SA,"Access to diverse opportunities in business and technology domains
Engage in global projects and corporate responsibility initiatives.
Supportive community, world-class Learning and Development program for growth",,0,https://au.jora.com/job/Notify-Me-Capgemini-02da7307cdd26e0d291c3fa26fea6365
Demand Generation Rep Intern,Amazon Web Services,Sydney,NSW,"Drive cloud integration and extend customer cloud capabilities
Collaborate with business and technical teams to build solutions
Passion for demand generation, digital transformation, technical skills",Git,0,https://au.jora.com/job/Demand-Generation-Rep-19216beb7cc43c45a63a091ca27f270c
KBR Summer Internship Program 2025 -Process Engineer- Water,KBR,Melbourne,VIC,"Testing code quality and ensuring requirements are met
Developing and maintaining software applications for backend and frontend
Skills required: collaboration, numerical problem solving, attention to detail",,0,https://au.jora.com/job/Process-Engineer-01f6eb68b5c612391e7c3f14a8f355da
EOI Intern Program,Aware Super,Woollahra,NSW,"Intern program in Technology and Investments fields
Opportunity for early talent exposure and professional development
Criteria include relevant degree, credit average GPA, and involvement activities",,0,https://au.jora.com/job/EOI-Intern-Program-36f090f2682d6ff2249c67472622cb89
"Demand Generation Intern, Global Lead Development",Amazon Web Services,Sydney,NSW,"Penultimate year degree student passionate about demand generation
Hands-on experience in cloud integration and customer support
Strong communication, leadership skills, and interest in digital transformation",Git,0,https://au.jora.com/job/Demand-Generation-Intern-b1c9192af17c26d9b8d78fbb56863f06
Mobile Engineer Intern - TikTok LIVE Foundation,TikTok,Sydney,NSW,"Design and implement new-user features for mobile application
Collaborate with design and product teams for world-class experience
Testing, backend and frontend application development responsibilities",,0,https://au.jora.com/job/Mobile-Engineer-d0cf939e8782b59d39161ba69067b9f4
Technology Discovery Day: 2025 (Expression of Interest),Susquehanna International Group,Sydney,NSW,"Participate in 2-day Technology Discovery Day Program
Learn about software development for trading systems and infrastructure
Open to Australian citizens, permanent residents, and international students",,0,https://au.jora.com/job/Technology-Discovery-Day-6618a42f465a3d2309aed5569645dad3
"Software Engineering Summer Internship 2025/2026, Australia and New Zealand",Susquehanna International Group,Sydney,NSW,"Internship for penultimate year university students in Australia/NZ
Develop software solutions using JavaScript, Python, C, C++
12-week full-time program from late November 2025 to late February 2026","C++, Java, JavaScript, Python",0,https://au.jora.com/job/Software-Engineering-Summer-6ebb89641969601d1d2913daa5ea2f83
Notify Me - DXC Technology Internships,DXC Technology,Adelaide,SA,"Receive notifications for DXC Technology internships
Opportunity to join a global leader in IT solutions
Engage in transforming businesses through technology and innovation",,0,https://au.jora.com/job/Notify-Me-DXC-6965dbfcd8f3d87c8ccf14ff485ba78e
"Security/Intelligence Engineer (Computer Science) Summer Internship 2025/2026, Australia and New Zealand",Atlassian,Adelaide,SA,"Internship in Security team focusing on discovering and fixing vulnerabilities
Requires Bachelor's or Master's in Computer Science/Software Engineering
Open to penultimate year students with Australian or NZ Citizenship/PR",,0,https://au.jora.com/job/Engineer-3cc65b95d2e274cd7d6620baebd1a47b
Intern - First Nations Internship & Scholarship Program,McKinsey & Company,Canberra,ACT,"Join client project team to solve business problems
Paid consulting internship with coaching and mentoring support
Work on client engagement, gather information, develop recommendations",,0,https://au.jora.com/job/Intern-First-Nations-b2cbe1f488e4ec622a179ecacddeeafb
Web Developer Intern,Study and Work,Sydney,NSW,"12-week unpaid internship in web development with marketing projects
Requirements: HTML, CSS, JavaScript, web frameworks, communication skills
Opportunity for job placement, gain practical experience, flexible schedule","CSS, HTML, Java, JavaScript",0,https://au.jora.com/job/Web-Developer-6d625706aafec1793c1ac968ba3bcef7
EY 2025/26 Vacationer Information Technology / Information Systems / Business Information Systems Program,EY,Adelaide,SA,"Opportunity to develop skills in various business service lines
Eligibility for penultimate year students with specific citizenship status
Rigorous recruitment process including online assessments and interviews",Go,0,https://au.jora.com/job/EY-2025-26-3de88bd1a1b2cad6f89fbaaabb1f9663
2025-2026 NAB Summer Intern Program - Expression of Interest,AKD,Sydney,NSW,"8-week paid summer intern program for penultimate year students
Gain insights into banking industry, develop skills, and network
Opportunity for early offer to Graduate Program upon completion",,0,https://au.jora.com/job/2025-2026-NAB-624e73e4235a189013c5b767428e4107
"Software Engineering (Mechatronics) Summer Internship 2025/2026, Australia and New Zealand",Susquehanna International Group,Sydney,NSW,"Internship for Software Engineering or Computer Science students
Work on software development projects with a focus on quality
12-week full-time program for Australian or New Zealand citizens/residents",,0,https://au.jora.com/job/Software-Engineering-Mechatronics-9fc465591faa913d14efe28b6317425d
Software Development Internship: November 2025,Susquehanna International Group,Sydney,NSW,"Hands-on experience in software development life cycle projects
Strong technical skills in C++, C#, Python or Java required
Penultimate year student in Computer Science or related field","C#, C++, Java, Python",0,https://au.jora.com/job/Software-Development-Internship-dd25a020d0bab5d367de023f364d7e75
"Backend Engineer Intern, TikTok LIVE Growth (Sydney) - 2026 Start",TikTok,Sydney,NSW,"Develop and lead technical projects for large-scale consumer applications
Contribute to engineering strategy, tooling, processes, and culture
Final year or recent graduate in Software Development or related field",,0,https://au.jora.com/job/Backend-Engineer-4261e2196814c3d02096726bb289f242
EY 2025/26 Vacationer Information Security Program,EY,Adelaide,SA,"Opportunity to develop skills in Information Technology Security
Eligibility for penultimate year students with specific citizenship criteria
Rigorous recruitment process including online assessments and interviews",Go,0,https://au.jora.com/job/EY-2025-26-c7f0f6fdb523e48d1f258edef67b93be
"Site Reliability Engineering (Computer Science) Summer Internship 2025/2026, Australia and New Zealand",Atlassian,Adelaide,SA,"Join Atlassian's Site Reliability team for 12-week full-time internship
Work on production systems, investigate failures, and gain technical skills
Penultimate year university students with Australian or New Zealand Citizenship",,0,https://au.jora.com/job/Site-Reliability-Engineering-b6ab8a35de575d21c1f453e53b1854d3
Notify Me - Optus Internships,Optus,Adelaide,SA,"Join Optus Graduate Program for career development opportunities
2-year program with exposure to various business areas
Roles in Marketing, People & Culture, Finance, Technology, and more",,0,https://au.jora.com/job/Notify-Me-Optus-d55e8c08719f9e0b4244848d647bdc7f
Digital Marketing Intern,Study and Work,Sydney,NSW,"Support digital marketing campaigns with performance analysis
Gain hands-on experience in social media, campaign strategies, analytics
Internship open to Marketing, Digital Media, or related field students",Git,0,https://au.jora.com/job/Digital-Marketing-Intern-a0cf190f2db6e3f47bd47e10868b5f29
"Software Engineer, 2025/2026 Intern Australia & New Zealand",Atlassian,Sydney,NSW,"Internship program for Software Engineering students in Australia/NZ
Work on software development projects with a focus on cloud migration
Required skills in JavaScript, Python, C, C++ and data structures","C++, Java, JavaScript, Python",0,https://au.jora.com/job/Software-Engineer-1d36a3d911b238b814beb65ab4f191c6
2025 Software Development Internship - Sydney,Susquehanna International Group,Sydney,NSW,"Internship program focusing on software development in trading systems
Hands-on project work with mentorship and professional development sessions
Penultimate year status with technical skills and problem-solving abilities",,0,https://au.jora.com/job/2025-Software-Development-17d7c30336b206b925613db5026378ec
IT Systems Administration Intern,Aem-fts,Victoria,,"Automate onboarding workflow and system integrations
Support Windows 11 migration and on-premise servers to cloud
Bachelor's degree in computer science or related field required",,0,https://au.jora.com/job/Administration-Intern-6703529035c0adc0817d51816c1c7f4f
"Internship Opportunity at innovative tech startup, Propedia.",Propedia,South Melbourne,VIC,"Develop full-stack GIS web applications with front-end and back-end
Experience with Vue.js, Node.js, PostgreSQL, and APIs integration
Opportunity for growth from internship to full-time position","Node.js, PostgreSQL, SQL, Vue.js",0,https://au.jora.com/job/Internship-Opportunity-at-47d5363ad7fa8f01dec3164a7aba6b9c
"Information Security Engineer Intern, Security Assurance",TikTok,Sydney,NSW,"Conducting security assessments and penetration tests on mobile applications
Automating application analysis processes and visualizing attack surfaces
Pursuing related degree with programming skills required",,0,https://au.jora.com/job/Information-Security-Engineer-af4f1bb50039eab7dd90f82798205797
IT - Other,Studyandwork,Melbourne,VIC,"Analyze market trends and customer data for growth opportunities
Support marketing strategy development and campaign execution
Work on reports, collaborate with team, gain hands-on experience",,0,https://au.jora.com/job/IT-Other-2c8e49daf77b6fd2e9fb4967833138ae
2025/26 Software Engineering Intern Program,Airwallex,Sydney,NSW,"Hands-on project ownership with mentorship by industry technologists
Structured 12-week program with tech stack focus (Kotlin, Kafka)
Eligibility for final year Bachelor's or Master's in Computer Science",Kafka,0,https://au.jora.com/job/2025-26-Software-86de1a9dbfeb6713b9a71918df6e1d0e
2025/26 Software Engineering Intern Program,Airwallex,Melbourne,VIC,"12-week software engineering intern program with hands-on project
Structured program with mentorship, tech stack focus on Kotlin, Kafka
CS/SE degree, OOP skills, good communication required","Go, Kafka",0,https://au.jora.com/job/Software-Engineering-Intern-1eb8b308bbaa75c2540d03ab42bdd9bb
Project Management Intern - AI Data (Safety Operations),TikTok,Sydney,NSW,"Support labeling projects and monitor key project metrics
Analyze project data for data-driven decisions; strong communication skills
Minimum 3-month commitment; proactive, responsible, and collaborative skills",,0,https://au.jora.com/job/Project-Management-Intern-32019cd7e7e7f32306acef96bed599ea
Join - Amazon WoW ANZ,HKEX,North Sydney,NSW,"Skill development program for women tech students in ANZ
Sessions on career pathways, resume writing, interviews, and more
Open to Tech/STEM students, virtual & in-person events",,0,https://au.jora.com/job/Join-Amazon-WoW-f526e9cd0c2373bb8f9e593c1361133d
Business Analyst Intern,Study and Work,Southbank,VIC,"Relevant degree or recent graduate with strong communication skills
Perform computer systems analysis, testing, and programming tasks
Support business development team in administrative tasks and data analysis",,0,https://au.jora.com/job/Business-Analyst-8e673a12881a1d899ca2ff116060d108
Flutter Developer Intern,Study and Work,Sydney,NSW,"Develop cross-platform mobile apps using Flutter and Dart
Collaborate with product managers, designers, and backend engineers
Proven experience in Flutter & Dart, RESTful APIs integration",,0,https://au.jora.com/job/Flutter-Developer-16e217f09e79b1290c11ef0ab81d80af
EOI Intern Program,Aware Super,Melbourne,VIC,"Intern program in Technology and Investments fields
Gain experience in IT systems, portfolio management, and financial analysis
Application requirements include relevant degree and extracurricular activities",,0,https://au.jora.com/job/EOI-Intern-Program-6032125c3dceb482f87856a5be0e530a
Korn Ferry's Search 2025 Internship Program,Korn Ferry Executive Search - US,Sydney,NSW,"Internship program for students graduating in 2026
Gain hands-on experience in executive search projects
Proficiency in MS Office tools and problem-solving skills required",,0,https://au.jora.com/job/Korn-Ferry-s-b79a62fc7237540abda2471af6c15c6e
"Software Development Engineer in Test Intern, Trust and Safety Engineering - 2026 Start",TikTok,Sydney,NSW,"Assist in quality assurance of Trust and Safety products
Collaborate with various roles for high-quality product delivery
Contribute to product quality through technical improvements and research",SSIS,0,https://au.jora.com/job/Software-Development-Engineer-4c90c0e84479553c834fea74a84f3b9e
IT Security,Studyandwork,Sydney,NSW,"Monitor, analyze security incidents, mitigate vulnerabilities.
Contribute to security awareness training, user guides, and research activities
Degree in Cybersecurity or related field, Australian citizenship required",,0,https://au.jora.com/job/IT-Security-4c8aa21d1df762c2e12998b052e13678
Full Stack Developer Intern,Study and Work,Melbourne,VIC,"Develop and maintain scalable web applications using JavaScript, React
Troubleshoot, debug, and enhance existing applications; integrate APIs
Basic understanding of HTML, CSS, JavaScript, and modern frameworks","CSS, HTML, Java, JavaScript, React, Scala",0,https://au.jora.com/job/Full-Stack-Developer-7d0c5c7f0d2d3fa27d872be11f3aeb15
Marketing Intern,Study and Work,Melbourne,VIC,"Responsible for communication, market research, and marketing strategies
Hands-on experience with Adobe Suite, Canva, SEO/SEM, and market research
Collaborative team player pursuing/completed degree in Marketing or Business",,0,https://au.jora.com/job/Marketing-Intern-990681ae0857e743faef70a9fbae387f
Intern - Digital,Senex Energy,Brisbane,QLD,"Support Digital Team with data analysis and research projects
Contribute to industry trends research and team meetings
Seeking interns from various IT-related disciplines for 12-week paid internship",Git,0,https://au.jora.com/job/Intern-Digital-c96b68e10ce10a7f5c5c0ab8c60dba62
Internship - Frazer Nash 2025 Program - Melbourne,KBR,Melbourne,VIC,"Tailored 8-12 weeks internship for engineering students
Gain hands-on experience in engineering consulting team
Opportunity for long-term employment with Frazer-Nash and KBR",,0,https://au.jora.com/job/Internship-Frazer-Nash-b7caeda8ed72dd44155cc47fd478586d
"Demand Generation Rep Intern, Global Lead Development",Amazon Web Services,Sydney,NSW,"Drive cloud integration and extend capabilities for customers
Collaborate with business and technical teams to build solutions
Penultimate year student with interest in demand generation and sales",,0,https://au.jora.com/job/Demand-Generation-Rep-e2fd6fcbffe8c7ff96b2efc7978921a8
Solutions Architect Intern,Amazon Web Services,Sydney,NSW,"Penultimate year student in Computer Science/Engineering/Mathematics/Technology
Cloud-based solutions delivery, programming language proficiency needed.
Experience with Java, Python, Ruby, Node.js, C#, C++ preferred","C#, C++, Java, Node.js, Python, Ruby",0,https://au.jora.com/job/Solutions-Architect-3538ec1c7c25ee522641f186fdf8cbc9
Mobile Engineer Intern,TikTok,Sydney,NSW,"Design and implement new-user features for mobile application
Collaborate with design and product teams for world-class experience
Optimize mobile apps on Android/iOS platforms; BS/MS in Computer Science",,0,https://au.jora.com/job/Mobile-Engineer-bc7e3d2e7a6ae422f9cab0e2f493d8aa
Business Analyst/Product Manager Internship Program 2025,Readygrad,Adelaide,SA,"Gather, validate, and document business requirements
Analyse commercial data, model processes, and estimate costs
Support business transition, test solutions, and report directly to management",,0,https://au.jora.com/job/Business-Analyst-ef75b2d12fed83edbd65bdde2efa791a
Notify Me - Cognizant Internships,Cognizant,Adelaide,SA,"Receive notifications for Cognizant's Internships
Opportunity to apply early for internship openings
Join a diverse and inclusive workplace with global presence",,0,https://au.jora.com/job/Notify-Me-Cognizant-8db05b0b821ec6f5d40db0f83977c5be
Internship - Electrical Engineer -KBR 2025 Summer program,KBR,Brisbane,QLD,"Gain hands-on experience on diverse infrastructure projects
Guided by expert professionals to develop technical expertise
Eligible candidates in penultimate year of bachelor's degree required",,0,https://au.jora.com/job/Electrical-Engineer-2fb81e307cebe1f594c9940dd99709e8
Innovative 2025 Software Engineering Internships on Offer,GHD Group,Sydney,NSW,"Internship opportunities in various software engineering roles available
Access to extensive host company network for tailored career development
Receive pre-placement preparation and mentoring from industry consultants",,0,https://au.jora.com/job/Innovative-2025-Software-962dd46b3f9607592e3de980d78389c5
Software Engineer Internship (Frontend / Backend) 2025/26 - ANZ,Canva,Sydney,NSW,"Collaborate on real-life projects with mentorship from experienced engineers
Develop software documentation and interact with various stakeholders
Work on Java/JavaScript, AI tools, and commit to 12-week program","Java, JavaScript",0,https://au.jora.com/job/Software-Engineer-Internship-a812af8d278f1e46ac9a3f3d4a10ee9b
Cloud Systems Administration Intern,Aem-fts,Victoria,,"Assist in managing AWS infrastructure and upgrading Linux OS
Support automation tasks using Bash, Python, or Terraform scripts
Gain hands-on experience in cloud services, networking, and automation","AWS, Bash, Linux, Networking, Python, SSIS, Terraform",0,https://au.jora.com/job/Administration-Intern-752fecce82cb56929d3c9adac6f09605
SEO Marketing Intern,Study and Work,Melbourne,VIC,"Contribute to SEO strategies through keyword research and analysis
Assist in optimizing website content and engaging in research activities
Work collaboratively with team, learn SEO tactics, and comply with standards","SSIS, Word",0,https://au.jora.com/job/Marketing-Intern-2527636d5b5b4f47ecfdd142a8864b9a
Marketing Communications,Studyandwork,Sydney,NSW,"Design and customize online store layout with team collaboration
Troubleshoot and fix issues, test website functionality for user experience
Basic knowledge of HTML, CSS, JavaScript required; Shopify familiarity preferred","CSS, HTML, Java, JavaScript, Shopify",0,https://au.jora.com/job/Marketing-Communications-020b963dd7fc62743c26a7ac95c45757
Digital Marketing,Study and Work,Melbourne,VIC,"Responsible for communication, market research, and marketing strategies
Skills in Adobe Suite, Canva, SEO/SEM, and market research
Internship role for students and graduates in Melbourne, VIC",,0,https://au.jora.com/job/Digital-Marketing-19d2fa491b745d9cc48379b037ed06d9
Digital Marketing Internship,Study and Work,Minto,NSW,"Assist in social media content creation and scheduling
Collaborate on marketing campaigns and conduct keyword research
Gain hands-on experience in digital marketing with industry professionals","Git, SSIS, Word",0,https://au.jora.com/job/Digital-Marketing-Internship-d33780c3556797eb6159c046314e0590
Client Service Intern [Winter internship],Guidepoint,Sydney,NSW,"Assist Project Managers with assigned tasks and projects
Coordinate phone consultations with clients and industry experts
Conduct industry research, data entry, and CRM database updates",SSIS,0,https://au.jora.com/job/Client-Service-Intern-1cd3a71751e6dcd7653877ec3d2a6ed6
